Condition,Distance_km,Frequency_GHz,Bandwidth_MHz,Modulation,TxPower_dBm,Gain_dBi,RSSI_dBm,SNR_dB,BER,Availability_percent,Etat
Normal_Rural,17.23,32,112,8PSK,21.14,25.17,-3.72,2.31,0.0869584520645783,99.39,KO
Normal_Rural,43.53,23,56,16-QAM,24.24,32.26,-45.77,0,0.159969437663527,99.22,KO
Normal_Rural,19.44,18,28,16-QAM,23.92,26.61,-1.36,6.2,0.0865255663471572,99.55,KO
Normal_Rural,0.51,11,112,16-QAM,17.71,24.12,39.5,47.48,8.57495825350828E-07,99.72,OK
Normal_Rural,22.58,11,112,BPSK,25.38,38.06,3.43,11.82,0.000699731441539276,94.8,Dégradé
Normal_Rural,43.01,8,56,16-QAM,26.9,30.5,-39.58,0,0.116697700315936,99.5,KO
Normal_Rural,32.99,4,112,8PSK,25.42,30.97,-20.91,0,0.11245761479791,99.33,KO
Normal_Rural,4.64,4,224,8PSK,19.02,24.67,28.21,28.84,3.46943224590925E-08,99.62,OK
Normal_Rural,48.78,26,112,8PSK,26.87,38.78,-43.63,0,0.0665843862277545,91.63,KO
Normal_Rural,32.87,6,14,QPSK,24.02,33.95,-12.64,0,0.100915589891841,99.58,KO
Normal_Rural,15.24,4,56,QPSK,22.74,27.92,16.87,17.9,0.000640144870885244,99.94,Dégradé
Normal_Rural,46.73,8,56,16-QAM,24.37,32.87,-51.93,0,0.10201727573775,99.61,KO
Normal_Rural,37.5,11,56,BPSK,25.18,35.58,-30.12,0,0.0870035017766192,90.42,KO
Normal_Rural,7.31,4,224,8PSK,23.42,26.79,32.44,37.14,9.92181881155568E-07,99.89,OK
Normal_Rural,49.7,18,56,16-QAM,24.1,33.77,-54.09,0,0.159235569649888,99.79,KO
Normal_Rural,30.07,8,14,16-QAM,26.42,36.7,-2.62,1.33,0.11476662322256,99.49,KO
Normal_Rural,22.96,18,14,16-QAM,26.51,36.27,16.2,19.63,0.00055074320830618,99.58,Dégradé
Normal_Rural,42.1,8,224,QPSK,25.93,39.56,-25,0,0.0195294892057174,99.55,KO
Normal_Rural,32.96,26,14,QPSK,24.5,34.83,-11.67,0,0.0384986148243742,99.59,KO
Normal_Rural,3.76,23,224,8PSK,17.89,23.44,22.49,24.6,9.98292004831893E-07,99.88,OK
Normal_Rural,9.95,6,56,8PSK,22.88,28.4,29.69,37.73,7.40006023574599E-07,99.74,OK
Normal_Rural,38.77,11,28,QPSK,24.14,34.89,-30.77,0,0.0641346981139676,95.38,KO
Normal_Rural,48.41,11,28,QPSK,24.53,36,-40.46,0,0.148230236712558,99.8,KO
Normal_Rural,48.42,8,224,8PSK,26.25,36.45,-35.85,0,0.026055110490529,99.77,KO
Normal_Rural,38.34,23,28,16-QAM,26.66,36,-15.07,0,0.0403271717610132,99.97,KO
Normal_Rural,5.99,32,28,QPSK,20.21,26.28,25.17,33.39,8.3148996751042E-07,99.76,OK
Normal_Rural,42.43,26,28,QPSK,25.09,30.13,-34.91,0,0.198625233419347,99.98,KO
Normal_Rural,35.33,13,224,8PSK,25.1,35.97,-10.02,0,0.0163063061895958,99.96,KO
Normal_Rural,0.92,23,28,32-QAM,17.21,22.07,21.86,30.37,7.5204406677742E-07,91.84,OK
Normal_Rural,9.71,23,224,8PSK,20.74,29.2,29.42,34.8,3.64316526930017E-08,99.85,OK
Normal_Rural,11.58,38,14,32-QAM,22.97,27.51,13.37,21.07,4.80988158574054E-07,97.74,OK
Normal_Rural,20.82,38,14,BPSK,25.26,35.04,6.36,9.54,0.0386643814733532,90.96,KO
Normal_Rural,19.61,8,14,8PSK,21.77,29.97,0.69,10.2,0.000265048669376487,96.19,Dégradé
Normal_Rural,5.22,38,112,QPSK,20.51,27.56,23.69,24.81,3.28102262697958E-07,99.85,OK
Normal_Rural,27.05,11,28,BPSK,24.96,30.65,-8.15,0,0.0627312178832536,99.06,KO
Normal_Rural,24.63,26,56,16-QAM,24.2,34.57,5.16,13.64,0.00234780664430653,99.72,KO
Normal_Rural,28.21,23,224,8PSK,24.05,37.19,4.18,13.04,0.000875431938691844,99.77,Dégradé
Normal_Rural,25.04,18,56,BPSK,25.81,35,7.63,11.56,2.43076887471119E-05,99.29,Dégradé
Normal_Rural,21.48,11,56,BPSK,26.67,37.28,20.27,21.51,9.71256743294054E-07,99.89,OK
Normal_Rural,5.3,32,224,32-QAM,22.26,27.42,30.79,36.4,3.37446071380557E-08,99.87,OK
Normal_Rural,8.85,11,28,16-QAM,23.72,29.9,29.6,34.04,3.96601308370004E-07,99.92,OK
Normal_Rural,33.89,13,224,8PSK,25.22,32.08,-16.45,0,0.0498109778977931,99.68,KO
Normal_Rural,17.72,23,28,BPSK,22.63,29.67,1.51,8.22,0.0269036615386166,92.4,KO
Normal_Rural,35.04,6,14,8PSK,26.94,37.01,-20.23,0,0.065644856613872,91.1,KO
Normal_Rural,11.28,26,14,32-QAM,20.69,26.64,10.63,11.64,0.000663542268674033,94.09,Dégradé
Normal_Rural,49.79,13,14,QPSK,26.4,36.42,-43.89,0,0.182154336242209,99.62,KO
Normal_Rural,40.42,23,28,16-QAM,25.07,36.89,-23.51,0,0.0211696743031693,99.7,KO
Normal_Rural,15.34,8,14,8PSK,23.19,25.93,14.38,17.83,0.00013724869265733,99.5,Dégradé
Normal_Rural,0.89,6,224,16-QAM,18.67,24.25,27.99,29.56,5.37839576535576E-07,93.41,OK
Normal_Rural,6.78,4,224,QPSK,20.09,29.19,28.76,31.26,8.58567489824016E-07,99.94,OK
Normal_Rural,11.46,6,56,16-QAM,22.07,25.71,18.37,22.86,1.02313124181126E-07,99.73,OK
Normal_Rural,41.29,32,112,BPSK,26.83,30.15,-37.05,0,0.00204346171017134,97.67,KO
Normal_Rural,38.85,11,14,BPSK,26.68,33.59,-20.04,0,0.0147006410118188,99.98,KO
Normal_Rural,20.39,23,56,QPSK,26.7,31.22,7.66,11.5,0.00206203593952655,99.62,KO
Normal_Rural,33.92,8,112,8PSK,26.39,32.88,-8.95,0,0.0162755334229628,99.84,KO
Normal_Rural,17.69,4,14,16-QAM,23.7,26.24,10.73,12.01,0.000454063111538252,99.12,Dégradé
Normal_Rural,8.83,6,56,64-QAM,21.54,28.52,31.49,39.84,3.9561664355291E-09,99.93,OK
Normal_Rural,1.33,70,112,8PSK,19.33,20.26,26.91,36.62,9.0537083926264E-07,99.68,OK
Normal_Rural,24.96,4,56,8PSK,26.5,37.46,8.68,15.7,0.000912610274115767,99.93,Dégradé
Normal_Rural,29.04,8,14,QPSK,26.68,35.78,-4.89,0.9,0.164943665237211,99.52,KO
Normal_Rural,30.25,6,28,8PSK,25.72,37.11,-1.39,6.13,0.0828813223332894,99.57,KO
Normal_Rural,42.2,11,112,16-QAM,26.05,39.27,-20.67,0,0.0482579546324978,99.9,KO
Normal_Rural,35.06,11,112,8PSK,24.93,31.02,-23.34,0,0.117773552728423,99.6,KO
Normal_Rural,15,18,28,32-QAM,20.85,26.23,16.05,17.85,0.000303672497228856,99.96,Dégradé
Normal_Rural,47.53,26,224,QPSK,26.76,39.34,-35.09,0,0.259994772485717,99.74,KO
Normal_Rural,43.32,4,112,8PSK,26.11,36.29,-28.96,0,0.0181550943215338,99.88,KO
Normal_Rural,15.55,13,14,8PSK,20.4,25.31,-0.01,1.02,0.0735829578961701,94.9,KO
Normal_Rural,39.84,38,112,QPSK,26.09,36.78,-18.77,0,0.0879137019424083,99.69,KO
Normal_Rural,43.2,18,14,16-QAM,24.67,36.3,-29.77,0,0.0621732540518004,99.61,KO
Normal_Rural,47.86,38,28,QPSK,25.24,31.92,-43.07,0,0.158032602531413,99.7,KO
Normal_Rural,49.36,11,56,8PSK,24.47,32.19,-52.52,0,0.13371686406007,99.48,KO
Normal_Rural,20.37,38,224,16-QAM,25.89,33.73,6.04,6.6,0.0989841693697558,99.48,KO
Normal_Rural,17.29,38,28,16-QAM,22.91,26.41,7.52,14.46,0.000468236753307342,99.8,Dégradé
Normal_Rural,7.58,18,14,16-QAM,21.7,26.88,22.26,31.44,1.17427588378518E-07,99.41,OK
Normal_Rural,28.31,13,112,BPSK,26.16,30.97,-6.21,0,0.0963331006041613,99.87,KO
Normal_Rural,30.81,11,28,BPSK,26.1,33.51,-16.03,0,0.00377204636119968,91.9,KO
Normal_Rural,35.59,26,14,8PSK,25.67,39.78,-10.9,0,0.128855625036373,99.66,KO
Normal_Rural,35.04,11,56,16-QAM,26.56,34.69,-21.08,0,0.0510532586758502,94.62,KO
Normal_Rural,36.65,18,224,8PSK,26.32,35.18,-15.99,0,0.0448494448409838,99.89,KO
Normal_Rural,16.03,23,56,QPSK,23.65,29.94,12.21,12.53,0.00065049194253974,99.37,Dégradé
Normal_Rural,45.59,32,112,16-QAM,26.33,38.2,-30.19,0,0.0590129619261911,99.63,KO
Normal_Rural,9.81,23,56,16-QAM,22.75,29.93,27.58,33.78,6.7768627582462E-07,99.38,OK
Normal_Rural,27.84,26,14,8PSK,24.43,38.32,0.2,0.83,0.093068952981371,99.99,KO
Normal_Rural,47.88,32,112,QPSK,26.13,34.3,-45.97,0,0.0386909421143361,99.73,KO
Normal_Rural,30.64,13,14,8PSK,24.56,35.67,-13.43,0,0.114756343204214,99.16,KO
Normal_Rural,8.76,26,28,8PSK,21.23,27.94,31.39,32.14,9.77712586070803E-07,99.77,OK
Normal_Rural,29.49,38,14,8PSK,26.71,38.35,1.52,7.1,0.0478170433194124,99.8,KO
Normal_Rural,35.23,38,112,16-QAM,24.6,31.55,-17.21,0,0.0765044324914273,99.71,KO
Normal_Rural,45.34,11,56,8PSK,25.02,39.61,-39.58,0,0.0179550698747645,99.7,KO
Normal_Rural,23.12,13,112,16-QAM,24.01,36.44,3.79,13.03,0.00139956132562814,99.18,KO
Normal_Rural,1.7,8,14,BPSK,17.82,22.46,35.56,41,6.34927043305974E-07,99.54,OK
Normal_Rural,1.29,70,56,QPSK,19.02,24.86,34.43,38.62,4.50073015679036E-07,99.41,OK
Normal_Rural,27.41,6,28,QPSK,26.07,37.9,7.28,8.23,0.0247626563151197,99.51,KO
Normal_Rural,32.06,18,14,BPSK,26.75,39.92,-0.01,8.06,0.08146491740049,99.92,KO
Normal_Rural,35.35,38,56,8PSK,24.74,34.34,-21.29,0,0.22994936472304,99.72,KO
Normal_Rural,44.18,13,112,QPSK,26.06,31.89,-41.37,0,0.00297193778521142,99.31,KO
Normal_Rural,44.72,26,224,16-QAM,24.15,37.84,-33.19,0,0.0933275465115277,99.94,KO
Normal_Rural,36.55,38,112,8PSK,24.54,32.77,-19.01,0,0.187737186969194,99.13,KO
Normal_Rural,42.83,8,224,QPSK,26.16,36.59,-26.97,0,0.191453788154516,99.34,KO
Normal_Rural,46.94,8,14,BPSK,25.35,31.77,-41.74,0,0.0168591694060223,99.63,KO
Normal_Rural,23.24,6,14,QPSK,26.58,35.92,0.53,6.63,0.205063591389034,99.2,KO
Normal_Rural,10.35,11,14,16-QAM,23.22,28.85,26.87,35.97,2.58963123457543E-07,99.55,OK
Normal_Rural,7.12,18,224,16-QAM,20.95,26.26,26.93,32.89,4.81087903308574E-07,99.79,OK
Normal_Rural,26.36,38,14,16-QAM,25.45,36.72,-1.03,5.26,0.0172974783836133,99.32,KO
Normal_Rural,4.82,70,112,8PSK,17.78,23.18,18.98,21.51,6.9362439021988E-08,99.18,OK
Normal_Rural,17.63,26,14,8PSK,20.05,29.23,10.81,15.4,0.000862165188457393,99.36,Dégradé
Normal_Rural,16.87,26,112,16-QAM,22.93,29.2,11.16,17.87,7.95696101695527E-05,99.56,Dégradé
Normal_Rural,28.9,23,28,BPSK,24.73,37.88,-8.94,0,0.0267864041240082,91.55,KO
Normal_Rural,25.81,23,28,8PSK,24.99,36.98,-4,0,0.0761138881096563,99.07,KO
Normal_Rural,49.52,32,224,16-QAM,26.87,39.91,-44.61,0,0.185047911802572,99.36,KO
Normal_Rural,2.15,38,224,8PSK,19.24,24.24,34.29,43.07,4.8082867449706E-07,99.97,OK
Normal_Rural,26.7,13,28,BPSK,25.68,32.55,-6.97,0.71,0.0771590802514835,99.78,KO
Normal_Rural,12.33,13,28,16-QAM,21.3,29.75,11.68,13.73,0.000729048920991899,91.24,Dégradé
Normal_Rural,17.4,32,56,16-QAM,20.55,29.59,11.27,14.66,0.000195789772514874,99.56,Dégradé
Normal_Rural,43.72,38,28,QPSK,25.09,30.8,-35.36,0,0.0765088395793569,99.52,KO
Normal_Rural,18.07,6,56,QPSK,21.39,29,1.93,6.03,0.0197381669683077,92.72,KO
Normal_Rural,28.19,6,112,8PSK,25.27,33.23,-3.88,4.41,0.170989932210738,99.14,KO
Normal_Rural,46.77,38,14,8PSK,26.76,36.4,-35.82,0,0.124294747820393,99.85,KO
Normal_Rural,14.56,11,28,16-QAM,21.45,27.53,18.56,26.14,1.47081762809587E-08,99.52,OK
Normal_Rural,45.01,23,28,16-QAM,25.98,31.4,-35.48,0,0.0726017238476075,99.51,KO
Normal_Rural,49.67,18,14,8PSK,24.11,33.92,-45.27,0,0.153991374410721,99.59,KO
Normal_Rural,14.3,38,14,16-QAM,23.83,29.98,19.95,25.31,1.16387778485563E-08,99.98,OK
Normal_Rural,44.42,38,56,QPSK,25.35,37.06,-30.43,0,0.25308498659514,99.7,KO
Normal_Rural,18.72,4,28,BPSK,22.81,27.22,4.32,4.45,0.0694521898079268,99.36,KO
Normal_Rural,19.37,4,112,BPSK,22.38,29.53,-1.01,8.51,0.0834032388488062,97.01,KO
Normal_Rural,27.37,26,14,8PSK,25.98,31.43,-5.02,1.6,0.183277717239502,99.71,KO
Normal_Rural,4.1,13,224,8PSK,17.53,24.48,22.76,27.17,7.42589915410502E-07,99.18,OK
Normal_Rural,11.61,18,112,8PSK,22.87,27.43,11.07,12.45,0.000907671062724103,94.98,Dégradé
Normal_Rural,45.79,38,28,BPSK,25.25,35.44,-39.43,0,0.0583672854641837,99.76,KO
Normal_Rural,39.82,18,28,QPSK,26.67,36.76,-27.54,0,0.00725164435528544,95.83,KO
Normal_Rural,23.82,6,224,BPSK,26.68,37.5,9.81,19.56,0.000447168767293277,99.52,Dégradé
Normal_Rural,30.91,38,224,QPSK,25.79,39.3,-8.28,0,0.047780258324677,91.29,KO
Normal_Rural,20.42,6,14,16-QAM,25.63,39.32,22.67,27.86,6.81431842895105E-07,99.82,OK
Normal_Rural,31.67,26,28,QPSK,24.76,33.16,-11.51,0,0.0515293801040438,99.04,KO
Normal_Rural,10.39,4,224,16-QAM,23.65,29.59,27.82,30.04,1.32532646754529E-07,99.95,OK
Normal_Rural,40.29,8,224,16-QAM,25.02,31.52,-38.25,0,0.00589948612607511,90.2,KO
Normal_Rural,9.97,23,224,QPSK,20.12,25.5,25.38,28.85,2.33588115968783E-07,99.84,OK
Normal_Rural,8.86,13,14,QPSK,21.65,27.1,27.21,31.72,4.12040206740971E-07,99.52,OK
Normal_Rural,30.84,13,224,16-QAM,25,35.04,-14.6,0,0.0339087187986493,96.83,KO
Normal_Rural,14.21,26,224,QPSK,23.44,25.85,14.04,16.42,0.000520342609428197,99.5,Dégradé
Normal_Rural,29.97,13,224,8PSK,26.22,31.23,-6.95,0.24,0.0416857396252274,99.55,KO
Normal_Rural,6.48,32,56,32-QAM,22.11,25.03,18.5,18.88,0.00078808037443552,97.61,Dégradé
Normal_Rural,22.08,26,14,BPSK,24.52,37.13,10.31,12.62,0.00222225403470825,99.3,KO
Normal_Rural,2.19,23,112,8PSK,19.7,23.05,25.22,29.4,5.62836903520382E-07,94.5,OK
Normal_Rural,25.24,26,112,QPSK,25.06,30.28,-6.93,0,0.0789520187490733,99.57,KO
Normal_Rural,45.89,38,224,QPSK,26.48,33.85,-35.99,0,0.107422902624183,99.41,KO
Normal_Rural,46.32,6,112,16-QAM,25.71,39.22,-28.41,0,0.0870590350014248,99.8,KO
Normal_Rural,25.37,32,56,BPSK,26.5,34.8,-1.58,0.49,0.101284184871153,99.95,KO
Normal_Rural,24.88,13,56,QPSK,24.66,33.11,-3.6,0,0.0624989491956518,99.64,KO
Normal_Rural,13.66,6,14,8PSK,20.79,29.42,19.95,24.87,2.40570993997088E-07,99.89,OK
Normal_Rural,12.6,38,28,BPSK,22.24,29.28,15.26,24.6,9.66527379641937E-07,95.01,OK
Normal_Rural,39.2,26,14,8PSK,24.74,37.41,-29.39,0,0.0970614965626706,97.33,KO
Normal_Rural,40.04,32,14,BPSK,26.52,33.87,-28,0,0.180971935555913,99.9,KO
Normal_Rural,39.22,18,112,8PSK,24.15,36.2,-21.59,0,0.0357103318617167,99.71,KO
Normal_Rural,15.27,18,14,QPSK,23.63,29.13,16.58,22.38,9.03130030317277E-07,99.75,OK
Normal_Rural,47.63,23,28,16-QAM,24.08,35.67,-40.88,0,0.0916564401000846,99.56,KO
Normal_Rural,36.07,38,224,8PSK,26.04,37.46,-14.03,0,0.0243643158071404,99.23,KO
Normal_Rural,18.06,4,112,32-QAM,23.13,25.85,-0.97,7.61,0.0609706544660271,92.26,KO
Normal_Rural,45.32,13,112,BPSK,25.51,31.32,-44.08,0,0.043165913585849,99.53,KO
Normal_Rural,4.81,8,56,16-QAM,17.42,23.1,25.3,33.56,7.37227156846149E-07,99.99,OK
Normal_Rural,14.55,8,56,64-QAM,22.26,29.92,19.27,26.56,9.24493450533572E-07,99.85,OK
Normal_Rural,35.8,38,224,BPSK,24.29,32.7,-17.8,0,0.102892153464992,99.25,KO
Normal_Rural,26.84,18,224,QPSK,25.04,39.43,10.44,16.63,0.000875862566645092,99.65,Dégradé
Normal_Rural,30.62,23,112,16-QAM,24.75,30.61,-10.72,0,0.0829184068139817,99.55,KO
Normal_Rural,30.58,4,28,8PSK,25.2,33.54,-10.59,0,0.0978094221915407,99.89,KO
Normal_Rural,14.95,18,28,8PSK,20.17,28.51,5.21,5.59,0.0379975210904326,99.18,KO
Normal_Rural,36.68,18,112,8PSK,24.37,30.94,-19.93,0,0.0707119138425425,99.54,KO
Normal_Rural,39.63,32,56,8PSK,26.26,39.82,-28.85,0,0.00110925546384891,96.63,KO
Normal_Rural,15.23,4,28,QPSK,22.73,27.4,14.8,24.6,3.72391174661363E-07,99.88,OK
Normal_Rural,16.53,26,224,32-QAM,21.83,29.28,10.81,11.04,0.000146487885541658,99.96,Dégradé
Normal_Rural,1.71,11,112,16-QAM,17.36,22.01,25.87,30.69,1.92035438878258E-07,99.89,OK
Normal_Rural,4.69,32,224,QPSK,18.41,22.64,18.37,27.04,1.17700074684279E-07,99.84,OK
Normal_Rural,34.62,13,56,BPSK,25.54,34.66,-13.48,0,0.108614426842415,99.93,KO
Normal_Rural,17.87,26,224,QPSK,23.88,25.65,7.93,8.88,0.0427855198245425,99.9,KO
Normal_Rural,43.27,8,112,BPSK,24.43,34.74,-30.26,0,0.0585070026917835,99.88,KO
Normal_Rural,13.01,13,56,QPSK,23.87,26.64,19.66,29.57,3.21658833985953E-07,99.82,OK
Normal_Rural,6.65,4,224,BPSK,21.07,29.17,26.79,28.16,2.72201608079593E-07,99.53,OK
Normal_Rural,44.23,38,14,QPSK,25.65,35.38,-34.11,0,0.156156316255051,99.63,KO
Normal_Rural,17.83,4,56,BPSK,20.77,27.66,0.53,6.76,0.0165591547909925,99.83,KO
Normal_Rural,38.34,26,224,8PSK,26.68,35.3,-25.42,0,0.116546172941724,99.36,KO
Normal_Rural,5.94,38,224,16-QAM,20.8,28.99,35.49,38.05,8.66764206934198E-07,99.87,OK
Normal_Rural,38.36,4,56,BPSK,24.81,30.33,-26.91,0,0.0228451084584783,99.64,KO
Normal_Rural,3.39,11,224,8PSK,19.98,24.6,33.18,34.76,6.84093002566559E-07,99.68,OK
Normal_Rural,6.72,18,56,QPSK,22.66,26.36,21.49,30.23,7.76646736631405E-07,99.77,OK
Normal_Rural,45.01,18,28,16-QAM,26.46,37.01,-38.95,0,0.091803955990175,90.91,KO
Normal_Rural,45.01,13,112,8PSK,24.04,30.35,-48.7,0,0.0678032561230777,97.45,KO
Normal_Rural,28.98,13,28,8PSK,26.24,37.5,-8.72,0,0.0105810262159648,91.91,KO
Normal_Rural,17.04,38,14,QPSK,20.39,26.48,1.79,5.55,0.0350602217774679,99.32,KO
Normal_Rural,43.35,4,14,16-QAM,26.44,30.4,-32.33,0,0.00356786902010484,99.53,KO
Normal_Rural,18.7,8,14,BPSK,21.37,29.15,-0.16,7.56,0.0558691121865663,97.84,KO
Normal_Rural,39.03,26,224,16-QAM,25.46,34.86,-27.8,0,0.0798743756232254,99.42,KO
Normal_Rural,34.2,32,224,16-QAM,24.54,34.22,-15.58,0,0.0430765664050169,99.72,KO
Normal_Rural,18.44,4,14,64-QAM,21.67,26.93,-3.38,0,0.0976150250518082,90.25,KO
Normal_Rural,24.11,4,28,16-QAM,24.15,37.82,11.97,17.27,0.000750470967676959,99.58,Dégradé
Normal_Rural,24.25,13,224,BPSK,24.98,34.33,-3.57,3,0.105306754092301,99.66,KO
Normal_Rural,13.52,23,112,QPSK,20.87,26.67,14.19,19.68,0.000744242615437716,99.7,Dégradé
Normal_Rural,9.23,8,14,16-QAM,22.49,28.13,26.94,32.61,1.60502326119282E-08,99.84,OK
Normal_Rural,4.17,8,56,QPSK,17.01,20.6,15.79,21.75,9.18593770108764E-07,99.01,OK
Normal_Rural,13.64,6,14,BPSK,20.1,28.93,18.49,20.34,1.08691964543591E-07,99.16,OK
Normal_Rural,36.35,8,224,BPSK,24.97,39.85,-8.69,0,0.054296424062998,99.56,KO
Normal_Rural,39.23,6,112,BPSK,25.29,32,-21.28,0,0.0859563551832447,99.72,KO
Normal_Rural,7.76,11,56,256-QAM,20.6,26.35,24.91,28.48,7.21076714824601E-07,99.82,OK
Normal_Rural,4.36,23,28,QPSK,17.87,21.32,29.22,35.79,1.80991304114698E-08,99.98,OK
Normal_Rural,46.05,23,28,16-QAM,25.74,36.15,-41.3,0,0.00815242634561692,91.81,KO
Normal_Rural,37.87,6,112,QPSK,25.48,36.65,-27.26,0,0.0615004136470602,97.16,KO
Normal_Rural,41.95,32,28,16-QAM,26.59,33.49,-26.94,0,0.1237149688201,99.42,KO
Normal_Rural,41.56,6,112,QPSK,25.5,39.29,-22.43,0,0.142088135005521,99.87,KO
Normal_Rural,39.82,8,56,QPSK,25.63,33.15,-25.04,0,0.123884553901544,99.76,KO
Normal_Rural,15.94,26,112,8PSK,22.78,26.36,4.53,10.13,0.00076703797953934,97.34,Dégradé
Normal_Rural,10.37,18,224,16-QAM,23.23,27.37,20,24.56,4.65950970885205E-08,99.57,OK
Normal_Rural,46.49,6,28,BPSK,24.96,37.38,-34.15,0,0.131674071122267,99.1,KO
Normal_Rural,41.27,18,14,QPSK,26.37,35.89,-24.38,0,0.152062691935553,99.41,KO
Normal_Rural,27.82,38,28,8PSK,25.83,30.13,-8.02,0,0.180439120334385,99.69,KO
Normal_Rural,22.83,23,112,8PSK,24.5,38.47,10.46,18.44,9.64406340177165E-05,99.6,Dégradé
Normal_Rural,29.59,11,56,16-QAM,25.75,37.35,-0.87,8.03,0.14170215567126,99.7,KO
Normal_Rural,3.14,38,224,256-QAM,17.41,24.6,22.77,30.01,7.64309256274827E-07,90.74,OK
Normal_Rural,24.08,4,112,16-QAM,24.86,37.85,6.67,8.92,0.237466987884092,99.36,KO
Normal_Rural,11.68,18,14,8PSK,23.76,28.27,16.78,19.48,0.000902043922707911,96.47,Dégradé
Normal_Rural,47.33,18,112,QPSK,24.9,38.38,-42.8,0,0.0285271194382818,99.65,KO
Normal_Rural,26.49,26,28,16-QAM,24.76,32.02,0.94,1.62,0.203970515241462,99.4,KO
Normal_Rural,38.9,13,112,QPSK,24.94,33.54,-22.46,0,0.0659187389466778,99.19,KO
Normal_Rural,27.73,23,56,BPSK,26.81,32.62,-8.38,0,0.0410854069363041,97.27,KO
Normal_Rural,34.67,18,112,16-QAM,25.63,35.22,-12.4,0,0.0549814801535017,99.65,KO
Normal_Rural,49.04,26,56,QPSK,26.11,36.32,-46.49,0,0.0347033534372989,97.69,KO
Normal_Rural,40.99,13,224,16-QAM,26.39,39.75,-20.79,0,0.0863757709379123,99.76,KO
Normal_Rural,11.38,13,28,16-QAM,22.72,25.26,13.8,16.39,0.000569038181429974,99.22,Dégradé
Normal_Rural,18.64,38,112,QPSK,23.29,29.49,8.82,11.41,0.000368836374804091,99.4,Dégradé
Normal_Rural,13.2,38,224,BPSK,22.18,28.72,10.01,17.72,0.000758179773904179,99.36,Dégradé
Normal_Rural,22.25,11,14,16-QAM,24.02,32.43,4.22,4.82,0.263462550924311,99.94,KO
Normal_Rural,37.7,32,56,QPSK,24.51,37.86,-22.73,0,0.07820941692832,99.32,KO
